"Rank","Song","Artist","Year","Lyrics","Source"
11,"help me rhonda","the beach boys",1965,"well since she put me down i ve been out doin in my head come in late at night and in the mornin i just lay in bed well rhonda you look so fine look so fine and i know it wouldnt take much time for you to help me rhonda help me get her out of my heart help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda yeah get her out of my heart she was gonna be my wife and i was gonna be her man but she let another guy come between us and it ruined our plan well rhonda you caught my eye caught my eye and i can give you lotsa reasons why you gotta help me rhonda help me get her out of my heart help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda yeah get her out of my heart help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda yeah get her out of my heart help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda",3
12,"king of the road","roger miller",1965," trailer for sale or rent rooms to let fifty cents no phone no pool no pets i aint got no cigarettes ah but two hours of pushin broom buys an eight by twelve fourbit room im a man of means by no means king of the roadthird boxcar midnight train destination bangor maine old worn out clothes and shoes i dont pay no union dues i smoke old stogies i have found short but not too big around im a man of means by no means king of the roadi know every engineer on every train all of their children and all of their names and every handout in every town and every lock that aint locked when no ones aroundi sing trailers for sale or rent rooms to let fifty cents no phone no pool no pets i aint got no cigarettes ah but two hours of pushin broom buys an eight by twelve fourbit room im a man of means by no means king of the road ",1
13,"the birds and the bees","jewel akens",1965,"let me tell ya bout the birds and the bees and the flowers and the trees and the moon up above and a thing called love let me tell ya bout the stars in the sky and a girl and a guy and the way they could kiss on a night like this when i look into your big brown eyes its so very plain to see that its time you learned about the facts of life starting from a to z let me tell ya bout the birds and the bees and the flowers and the trees and the moon up above and a thing called love yeah when i look into your big brown eyes its so very plain to see that its time you learned about the facts of life starting from a to z let me tell ya bout the birds and the bees and the flowers and the trees and the moon up above and a thing called love let me tell ya bout the birds and the bees and the flowers and the trees and the birds and the bees and the flowers and the trees bout the birds and the bees and the bees and the bees ",3
14,"hold me thrill me kiss me","mel carter",1965," hold me hold me never let me go until youve told me told me what i want to know and then just hold me hold me make me tell you im in love with you thrill me thrill me thrill me thrill me walk me down the lane where shadows will be will be will be will be hiding lovers just the same as well be well be when you make me tell you i love you they told me be sensible with your new love dont be fooled thinking this is the last youll find but they never stood in the dark with you love when you take me in your arms and drive me slowly out of my mind kiss me kiss me kiss me kiss me and when you do ill know that you will miss me miss me miss me miss me if we ever say adieu so kiss me kiss me make me tell you im in love with you kiss me kiss me kiss me kiss me when you do ill know that you will miss me miss me miss me miss me if we ever say adieu so kiss me kiss me make me tell you im in love with you hold me thrill me never never never let me go never never never let me go hold me thrill me never never never let me go never never never let me go fade ",1
15,"shotgun","junior walker  the all stars",1965,"i said ̢shotgun shoot em for he runs now do the jerk baby do the jerk now hey̢ put on your red dress and then you go downtown now i said ̢buy yourself a shotgun now were gonna break it down baby now were gonna load it up baby now and then you shoot him for he runs now̢ shotgun shoot em for he runs now do the jerk baby do the jerk now hey put on your high heels shoes i said were goin down here listen to em play blues were gonna dig potatoes were gonna pick tomatoes i said ̢shotgun shoot em for he runs now do the jerk baby do the jerk now hey̢ i said ̢its twine time̢ i said ̢its twine time̢ i said ̢its twine time̢ hey",3
16,"i got you babe","sonny  cher",1965,"they say were young and we dont know we wont find out until we grow well i dont know if all thats true cause you got me and baby i got you babe i got you babe i got you babe they say our love wont pay the rent before its earned our moneys all been spent i guess thats so we dont have a pot but at least im sure of all the things we got babe i got you babe i got you babe i got flowers in the spring i got you to wear my ring and when im sad youre a clown and if i get scared youre always around dont let them tell your hairs too long cause i dont care with you i cant go wrong then put your little hand in mine there aint no hill or mountain we cant climb babe i got you babe i got you babe i got you to hold my hand i got you to understand i got you to walk with me i got you to talk with me i got you to kiss goodnight i got you to hold me tight i got you i wont let go i got you to love me so i got you babe i got you babe i got you babe ",3
17,"this diamond ring","gary lewis  the playboys",1965,"who wants to buy this diamond ring she took it off her finger now it doesnt mean a thing this diamond ring doesnt shine for me anymore and this diamond ring doesnt mean what it did before so if youve got someone whose love is true let it shine for you this stone is genuine like love should be and if your babys truer than my baby was to me this diamond ring can mean something beautiful and this diamond ring can mean dreams that are coming true and then your heart wont have to break like mine did if theres love behind it this diamond ring can mean something beautiful and this diamond ring can be dreams that are coming true and then your heart wont have to break like mine did if theres love behind it this diamond ring doesnt shine for me anymore and this diamond ring doesnt mean what it did before so if youve got someone whose love is true let it shine for you",3
18,"the in crowd","ramsey lewis trio",1965,"instrumental",3
19,"mrs brown youve got a lovely daughter","hermans hermits",1965," mrs brown youve got a lovely daughter girls as sharp as her are somethin rare but its sad she doesnt love me now shes made it clear enough it aint no good to pineshe wants to return those things i bought her tell her she can keep them just the same things have changed she doesnt love me now shes made it clear enough it aint no good to callwalkin about even in a crowd well youll pick her out makes a bloke feel so proudif she finds that ive been round to see you tell her that im well and feelin fine dont let on dont say she broke my heart id go down on my knees but its no good to pinewalkin about even in a crowd well youll pick her out makes a bloke feel so proudif she finds that ive been round to see you tell her that im well and feelin fine dont let on dont say she broke my heart id go down on my knees but its no good to pinemrs brown youve got a lovely daughter mrs brown youve got a lovely daughter mrs brown youve got a lovely daughter  ",1
20,"stop in the name of love","the supremes",1965," stop in the name of love before you break my heartbaby baby im aware of where you go each time you leave my door i watch you walk down the street knowing your other love youll meet but this time before you run to her leaving me alone and hurt think it over after ive been good to you think it over after ive been sweet to youstop in the name of love before you break my heart stop in the name of love before you break my heart think it over think it overive known of your your secluded nights ive even seen her maybe once or twice but is her sweet expression worth more than my love and affection but this time before you leave my arms and rush off to her charms think it over havent i been good to you think it over havent i been sweet to youstop in the name of love before you break my heart stop in the name of love before you break my heart think it over think it overive tried so hard hard to be patient hoping youd stop this infatuation but each time you are together im so afraid ill be losing you foreverstop in the name of love before you break my heart stop in the name of love before you break my heart stop in the name of love ",1
21,"unchained melody","the righteous brothers",1965," oh my love my darling ive hungered for your touch a long lonely time time goes by so slowly and time can do so much are you still mine i need your love i need your love god speed your love to me    meaning  byamandah   editor    written in 1955 unchained melody has become one of the mostrecorded songs of the 20th centurythe righteous brothers version remaining probably the most    see all   lonely rivers flow to the sea to the sea to the open arms of the sea lonely rivers sigh wait for me wait for me ill be coming home wait for meoh my love my darling ive hungered for your touch a long lonely time time goes by so slowly and time can do so much are you still mine i need your love i need your love god speed your love to me lonely mountains gaze at the stars at the stars waiting for the dawn of the dayall alone i gaze at the stars at the stars dreaming of my love far away ",1
22,"silhouettes","hermans hermits",1965," slaycrewetook a walk and passed your house late last night all the shades were pulled and drawn way down tight from within the dim light cast two silhouettes on the shade oh what a lovely couple they madeput his arms around your waist held you tight kisses i could almost taste in the night wondered why im not the guy whos silhouettes on the shade i couldnt hide the tears in my eyesahahahahah ahahahahah lead guitar lost control and rang your bell i was sore let me in or else ill beat down your door when two strangers who have been two silhouettes on the shade said to my shock youre on the wrong blockrushed down to your house with wings on my feet loved you like id never loved you my sweet vowed that you and i would be two silhouettes on the shade all of our days two silhouettes on the shadeahahahahah ahahahahah ",1
23,"ill never find another you","the seekers",1965," theres a new world somewhere they call the promised land and ill be there someday if you will hold my handi still need you there beside me no matter what i do for i know ill never find another youthere is always someone for each of us they say and youll be my someone forever and a dayi could search the whole world over until my life is through but i know ill never find another youits a long long journey so stay by my side when ill walk through the storm youll be my guide be my guideif they gave me a fortune my pleasure would be small i could lose it all tomorrow and never mind at allbut if i should lose your love dear i dont know what id do for i know ill never find another youbut if i should lose your love dear i dont know what id do for i know ill never find another you another you another you ",1
24,"cara mia","jay and the americans",1965,"mantovani cara mia why must we say goodbye each time we part my heart wants to die darling hear my prayer cara mia fair ill be your love till the end of time cara mia mine cara mia mine cara mia mine cara mia mine cara mia why must we say goodbye each time we part my heart wants to die darling hear my prayer cara mia fair ill be your love till the end of time cara mia mine cara mia mine cara mia mine cara mia mine oh oh oh oh oh oh oh oh oh oh each time we part my heart wants to die darling hear my prayer cara mia fair ill be your love till the end of time cara mia mine cara mia mine cara mia mine cara mia mine cara mia mine cara mia mine cara mia mine cara mia mine",3
25,"mr tambourine man","the byrds",1965," hey mr tambourine man play a song for me im not sleepy and there aint no place im going to hey mr tambourine man play a song for me in the jingle jangle morning ill come followin youtake me for a trip upon your magic swirling ship all my senses have been stripped and my hands cant feel to grip and my toes too numb to step wait only for my boot heels to be wanderingim ready to go anywhere im ready for to fade into my own parade cast your dancing spell my way i promise to go under ithey mr tambourine man play a song for me im not sleepy and there aint no place im going to hey mr tambourine man play a song for me in the jingle jangle morning ill come followin you ",1
26,"cast your fate to the wind","sounds orchestral",1965,"a month of nights a year of days octobers drifting into mays i set my sail when the tide comes in i just cast my fate to the wind i shift my course along the breeze wont sail upwind on memories the empty sky is my best friend i just cast my fate to the wind a month of nights a year of days octobers drifting into mays i set my sail when the tide comes in i just cast my fate to the wind",3
27,"yes im ready","barbara mason",1965,"are you ready yes im ready are you ready yes im ready i dont even know how to love you just the way you want me to but im ready ready to learn yes im ready ready to learn to fall in love to fall in love to fall in love with you i dont even know how to hold your hand just to make you understand but im ready ready to learn yes im ready ready to learn to hold your hand and make you understand to hold your hand right now i dont even know how to kiss your lips kiss your lips at a moment like this but im going to learn how to do all the things you want me to are you ready yes im ready are you ready yes im ready to fall in love to fall in love to fall in love right now are you ready yes im ready are you ready yes im ready to kiss me yes im ready to love me to kiss you to love you to hug you baby im ready",5
28,"whats new pussycat","tom jones",1965," whats new pussycat woah woah whats new pussycat woah woahpussycat pussycat ive got flowers and lots of hours to spend with you so go and powder your cute little pussycat nosepussycat pussycat i love you yes i do you and your pussycat nosewhats new pussycat woah woah whats new pussycat woah woahpussycat pussycat youre so thrilling and im so willing to care for you so go and make up your big little pussycat eyespussycat pussycat i love you yes i do you and your pussycat eyeswhats new pussycat woah woah whats new pussycat woah woahpussycat pussycat youre delicious and if my wishes can all come true ill soon be kissing your sweet little pussycat lipspussycat pussycat i love you yes i do you and your pussycat lips you and your pussycat eyes you and your pussycat nose ",1
29,"eve of destruction","barry mcguire",1965," the eastern world it is explodin violence flarin bullets loadin youre old enough to kill but not for votin you dont believe in war but whats that gun youre totin and even the jordan river has bodies floatinbut you tell me over and over and over again my friend ah you dont believe were on the eve of destructiondont you understand what im trying to say cant you feel the fears that im feeling today if the button is pushed theres no running away therell be none to save with the world in a grave take a look around you boy its bound to scare you boyand you tell me over and over and over again my friend ah you dont believe were on the eve of destructionyeah my bloods so mad feels like coagulatin im sittin here just contemplatin i cant twist the truth it knows no regulation handful of senators dont pass legislationand marches alone cant bring integration when human respect is disintegratin this whole crazy world is just too frustratinand you tell me over and over and over again my friend ah you dont believe were on the eve of destructionthink of all the hate there is in red china then take a look around to selma alabama ah you may leave here for four days in space but when you return its the same old placethe poundin of the drums the pride and disgrace you can bury your dead but dont leave a trace hate your next door neighbor but dont forget to say graceand tell me over and over and over and over again my friend you dont believe were on the eve of destruction no no you dont believe were on the eve of destruction ",1
30,"hang on sloopy","the mccoys",1965,"hang on sloopy sloopy hang on hang on sloopy sloopy hang on sloopy lives in a very bad part of town and everybody there tries to put my sloopy down sloopy i dont care what your daddy do cause you know sloopy girl im in love with you and so im singing yeah yeah yeah yeah sloopy let your hair down girl let it run down on me sloopy let your hair down girl let it run down on me come on sloopy come on come on come on sloopy come on come on well come on sloopy come on come on well come on sloopy come on come on well it feels so good come on come on you know it feels so good come on come on well shake it shake it shake it sloopy come on come on well shake it shake it shake it yeah yeah yeah yeah yeah yeah",3
31,"ticket to ride","the beatles",1965,"i think im gonna be sad i think its today yeah the girl thats driving me mad is going away shes got a ticket to ride shes got a ticket to ride shes got a ticket to ride but she dont care she said that living with me is bringing her down yeah for she would never be free when i was around shes got a ticket to ride shes got a ticket to ride shes got a ticket to ride but she dont care i dont know why shes riding so high she ought to think twice she ought to do right by me before she gets to saying goodbye she ought to think twice she ought to do right by me i think im gonna be sad i think its today yeah the girl thats driving me mad is going away yeah oh shes got a ticket to ride shes got a ticket to ride shes got a ticket to ride but she dont care i dont know why shes riding so high she ought to think twice she ought to do right by me before she gets to saying goodbye she ought to think twice she ought to do right by me she said that living with me was bringing her down yeah for she would never be free when i was around oh shes got a ticket to ride shes got a ticket to ride shes got a ticket to ride but she dont care my baby dont care my baby dont care my baby dont care my baby dont care my baby dont care my baby dont care",3
32,"red roses for a blue lady","bert kaempfert",1965,"i want some red roses for a blue lady mister florist take my order please we had a silly quarrel the other day i hope these pretty flowers chase her blues away i want some red roses for a blue lady send them to the sweetest gal in town and if they do the trick ill hurry back to pick your best white orchid for her wedding gown i want some red roses for a blue lady we had a silly quarrel the other day i hope these pretty flowers chase her blues away i want some red roses for a blue blue lady send them to the sweetest gal in town and if they do the trick ill hurry back to pick your best white orchid for her wedding gown your best white orchid for her wedding gown",3
33,"papas got a brand new bag","james brown",1965," come here sister papas in the swing he aint too hip about that new breed babe he aint no drag papas got a brand new bagcome here mama and dig this crazy scene hes not too fancy but his line is pretty clean he aint no drag papas got a brand new baghes doing the jerk hes doing the fly dont play him cheap cause you know he aint shy hes doing the monkey the mashed potatoes jump back jack see you later alligatorcome here sister papas in the swing he aint too hip now but i can dig that new breed babe he aint no drag hes got a brand new bag ",1
34,"game of love","wayne fontana  the mindbenders",1965,"the purpose of a man is to love a woman and the purpose of a woman is to love a man so come on baby lets start today come on baby lets play the game of love love la la la la la love it started long ago in the garden of eden when adam said to eve baby youre for me so come on baby lets start today come on baby lets play the game of love love la la la la la love come on baby cause the time is right love your daddy with all your might put your arms around me hold me tight play the game of love the purpose of a man is to love a woman and the purpose of a woman is to love a man so come on baby lets start today come on baby lets play the game of love love la la la la la love come on baby cause the time is right love your daddy with all your might put your arms around me hold me tight play the game of love the purpose of a man is to love a woman and the purpose of a woman is to love a man so come on baby lets start today come on baby lets play the game of love love la la la la la love the game of love baby the game of la la la la love the game of love baby the game of la la la la love the game of love baby",3
35,"the name game","shirley ellis",1965,"shirley ellis miscellaneous the name game the name game shirley  shirley shirley bo birley bonana fanna fo firley  fee fy mo mirley shirley lincoln  lincoln lincoln bo bincoln bonana fanna fo fincoln  fee fy mo mincoln lincoln come on everybody i say now lets play a game i betcha i can make a rhyme out of anybodys name the first letter of the name i treat it like it wasnt there but a b or an f or an m will appear and then i say bo add a b then i say the name and bonana fanna and a fo and then i say the name again with an f very plain  and a fee fy and a mo and then i say the name again with an m this time  and there isnt any name that i cant rhyme arnold  arnold arnold bo barnold bonana fanna fo farnold  fee fy mo marnold arnold but if the first two letters are ever the same  i drop them both and say the name like  bob bob drop the bs bo ob  for fred fred drop the fs fo red  for mary mary drop the ms mo ary  thats the only rule that is contrary okay now say bo bo  now tony with a b bony then bonana fanna fo bonana fanna fo then you say the name again with an f very plain fony then a fee fy and a mo fee fy mo then you say the name again with an m this time mony and there isnt any name that you cant rhyme every body do tony pretty good lets do billy very good lets do marsha a little trick with nick the name game",3
36,"i know a place","petula clark",1965," every day when the work is behind you and the shop and the store put the lock on the door just get away where your worries wont find you if you like well ill tell you moredont let the day get the better of you when the evening comes theres so much to do you better put on your best and wear a smile just come along with me awhile cuz i tell youi know a place where the music is fine and the lights are always low i know a place where we can goat the door theres a man who will greet you then you go downstairs to some tables and chairs soon im sure youll be tappin your feet because the beat is the greatest thereall around there are girls and boys its a swingin place a cellar full of noise its got an atmosphere of its own somehow you gotta come along right now cuz i tell youi know a place where the music is fine and the lights are always low i know a place where we can gowell all around there are girls and boys its a swingin place a cellar full of noise its got an atmosphere of its own somehow you gotta come along right now cuz i tell youi know a place where the music is fine and the lights are always low i know a place where we can goi know a place where we can go i know a place where the lights are low youre gonna love this place i know i know a place where we can go i know a place where the lights are low ",1
37,"back in my arms again","the supremes",1965," ooooohall day long i hear my telephone ring friends calling giving their advice from the boy i love i should break away cause heartaches hell bring one dayi lost him once through friends advice but its not gonna happen twice cause all advice ever gotten me was really long and sleepless nights ooooohbut now hes back in my arms again right by my side i got him back in my arms again so satisfied ooooohits easy for friends to say let him go but im the one who needs him so its his love that makes me strong without him i cant go onthis time ill live my life at ease being happy loving whom i please and each time we make romance ill be thankful for a second chance ooooohcause hes back in my arms again right by my side i got him back in my arms again so satisfied ooooohhow can mary tell me what to do when she lost her love so true and flo she dont know cause the boy she loves is a romeoi listened once to my friends advice but its not gonna happen twice cause all advice ever gotten me was really long and sleepless nights ooooohi got him back in my arms again right by my side i got him back in my arms again so satisfied ooooohim satisfied so satisfied im satisfied im satisfied so satisfied ",1
38,"baby im yours","barbara lewis",1965," baby im yours and ill be yours until the stars fall from the sky yours until the rivers all run dry in other words until i die baby im yours and ill be yours until the sun no longer shines yours until the poets run out of rhyme in other words until the end of time im gonna stay right here by your side do my best to keep you satisfied nothing in this world can drive me away cause every day youll hear me say baby im yours and ill be yours until two and two is three yours until the mountain crumbles to the sea in other words until eternity baby im yours till the stars fall from the sky baby im yours till the rivers all run dry baby im yours till the poets run out of rhyme baby im yours ",1
39,"the jolly green giant","the kingsmen",1965,"in the valley of the jolly heard about the jolly green giant potatoes hes so big and mean artichoke hearts well he stands there laughin with his hands on his hips and then he hits you with a can of beans well he lives down there in his valley brussels sprouts the cat stands tall and green spinach well he aint no prize and theres no women his size and thats why the cats so mean one day he left his valley pad i mean to say this cat was mad now lookin round he was incomprehensible and then he ran into an amazon well this changed his whole complexion broccoli he had never seen such a beautiful sight corn then he looked at her and she looked at him and she almost passed out from fright he looked at her thought what a dilly he touched her once she slapped him silly this was something he had never sensed he looked at her as she commenced now listen pal this aint no fluke i cant see goin with a big green kook youve heard about the jolly green giant   eggplant dont let his troubles cross your mind celery stalks he couldnt get sally so went back to his valley the cat was colorblind carrots canned beans",3
40,"hush hush sweet charlotte","patti page",1965," hush hush sweet charlotte charlotte dont you cry hush hush sweet charlotte hell love you till he diesoh hold him darling please hold him tight and brush the tear from your eyes you weep because you had a dream last night you dreamed that he said goodbyehe held two roses within his hand two roses he gave to you the red rose tells you of his passion the white rose his love so truehush hush sweet charlotte charlotte dont you cry hush hush sweet charlotte hell love you till he diesand every night after he shall die yes every night when hes gone the wind will sing to you this lullaby sweet charlotte was loved by johnhush hush sweet charlotte charlotte dont you cry hush hush sweet charlotte hell love you till he dies ",1
41,"like a rolling stone","bob dylan",1965," once upon a time you dressed so fine threw the bums a dime in your prime didnt you people call say beware doll youre bound to fall you thought they were all kidding you you used to laugh about everybody that was hanging out now you dont talk so loud now you dont seem so proud about having to be scrounging your next mealhow does it feel how does it feel to be without a home like a complete unknown like a rolling stoneahh youve gone to the finest schools alright miss lonely but you know you only used to get juiced in it nobodys ever taught you how to live out on the street and now youre gonna have to get used to it you say you never compromise with the mystery tramp but now you realize hes not selling any alibis as you stare into the vacuum of his eyes and say do you want to make a dealhow does it feel how does it feel to be on your own with no direction home a complete unknown like a rolling stoneah you never turned around to see the frowns on the jugglers and the clowns when they all did tricks for you you never understood that it aint no good you shouldnt let other people get your kicks for you you used to ride on a chrome horse with your diplomat who carried on his shoulder a siamese cat aint it hard when you discovered that he really wasnt where its at after he took from you everything he could stealhow does it feel how does it feel to have on your own with no direction home like a complete unknown like a rolling stoneahh princess on a steeple and all the pretty people theyre all drinking thinking that theyve got it made exchanging all precious gifts but you better take your diamond ring you better pawn it babe you used to be so amused at napoleon in rags and the language that he used go to him he calls you you cant refuse when you aint got nothing you got nothing to lose youre invisible now youve got no secrets to concealhow does it feel ah how does it feel to be on your own with no direction home like a complete unknown like a rolling stone ",1
42,"im telling you now","freddie and the dreamers",1965,NA,NA
43,"ferry cross the mersey","gerry and the pacemakers",1965,"gerry miscellaneous ferry cross the mersey ferry cross the mersey gerry and pace makers gerry marsden life goes on day after day hearts torn in every way so ferry cross the mersey cause this lands the place i love and here ill stay people they rush everywhere each with their own secret care so ferry cross the mersey and always take me there the place i love people around every corner they seem to smile and say we dont care what your name is boy well never turn you away so ill continue to say here i always will stay so ferry cross the mersey cause this lands the place i love and here ill stay and here ill stay here ill stay",3
44,"just once in my life","the righteous brothers",1965," theres alot of things i want a lot of things that id like to be but girl i dont forsee a ragstoriches story for me theres just one little dream ive got to come true theres just one round ive gotta win i cant be a loser with youbaby baby once in my life let me get what i want girl dont let me down just once in my life let me hold on to one good thing i found dont let me down baby say that youll be stayincause i couldnt face a day if you werent here by my side if you went away then id be left without any pride ive given up on schemes cause all of them fell through ive given up so many things dont ask me to give up on youbaby baby once in my life let me get what i want girl dont let me down just once in my life let me hold on to one good thing i found dont let me down baby say that youll be stayinthat old pot of gold aint so easy to find but if you stand by me ill keep my peace of mind i cant give you the world but i ill work hard for you girl ill work hard evryday all my life so baby please dont leave me just do this for meonce in my life let me get what i want girl dont let me down just once in my life let me hold on to one good thing i found dont let me down baby say that youll be stayin  ",1
45,"the seventh son","johnny rivers",1965,NA,NA
46,"im henery the eighth i am","hermans hermits",1965,NA,NA
47,"a walk in the black forest","horst jankowski",1965,"original is an instrumental music vocals recorded by salena jones the trees join hands and say hello and suddenly evrywhere we go the sun beams through in fun the  leaves form patterns like a heart and whisper forever never part  be true cause  i love you shadows write words of love across our path birds sing how lucky those whose love just grows together blades of grass stand on and on and chatter together in a calm  thats green and so serene a   memry of our walk   of love in a dream a stream goes by reflecting a message from the sky above and here and there we look around to see other lovers who have found  their way crickets tap out their symphony  in code rabbits run helter skelter finding shelter here and flowers swaying in the breeze look up to the branches of the trees and  sing as  birds take wing all this is true cause i love you",3
